Site,Hemisphere,Season,Country,b_abs_lambda,MAC_lambda,f_mass_EC,Black_carbon_mass,Non_Black_carbon_mass,b_abs_BC@550,b_abs_BrC@550,location
AEAZ,northern,Autumn,UAE,43.1765316766754,0.847343996119877,0.114506698074681,0.0033693987500254,0.9966306012499746,14.32428279625977,28.852248880415623,"AEAZ, UAE"
AEAZ,northern,Spring,UAE,24.98255909629879,0.845013249435301,0.1100066636391475,0.003913785046855,0.996086214953145,8.06686566578,16.91569343051879,"AEAZ, UAE"
AEAZ,northern,Summer,UAE,36.03345244569017,0.8519879661875445,0.1132411173317549,0.0027942923376947,0.9972057076623052,12.097084399881492,23.93636804580868,"AEAZ, UAE"
AEAZ,northern,Winter,UAE,23.173190049255386,1.0079691513279907,0.1301789448297965,0.0060276186024686,0.9939723813975312,7.525229490047803,15.647960559207576,"AEAZ, UAE"
AUMN,southern,Autumn,Australia,14.934025298795762,2.684495087795741,0.2992754158243394,0.0594887813841594,0.9405112186158406,4.157062393420089,10.776962905375672,"AUMN, Australia"
AUMN,southern,Spring,Australia,7.313741848535401,2.0294479154580567,0.1805765774584505,0.0513221730783124,0.9486778269216876,1.7337178959480586,5.580023952587343,"AUMN, Australia"
AUMN,southern,Summer,Australia,11.239552676084848,2.261377687694604,0.2292247076992471,0.0490987577074271,0.9509012422925728,2.8249151804561867,8.41463749562866,"AUMN, Australia"
AUMN,southern,Winter,Australia,16.040844876385485,3.3656850391471145,0.3643883793932699,0.0812542310117298,0.91874576898827,4.348226436878887,11.6926184395066,"AUMN, Australia"
BDDU,northern,Autumn,Bangladesh,57.78803071805551,1.6035466319314822,0.2173049936812117,0.0061163893412509,0.993883610658749,19.50392437848908,38.28410633956644,"BDDU, Bangladesh"
BDDU,northern,Spring,Bangladesh,83.21964673566167,1.23809397829535,0.1919644763653588,0.0033700016768515,0.9966299983231484,33.031451095024366,50.1881956406373,"BDDU, Bangladesh"
BDDU,northern,Summer,Bangladesh,50.14778171137913,1.52965640876536,0.2162457309819551,0.0086019639928371,0.9913980360071628,18.02131633381969,32.126465377559434,"BDDU, Bangladesh"
BDDU,northern,Winter,Bangladesh,124.83553046435232,1.501168540512115,0.2441183367923043,0.0030548274044413,0.9969451725955586,50.45502428002604,74.3805061843263,"BDDU, Bangladesh"
BIBU,equatorial,Equatorial Season,Burundi,42.31441548414332,1.382421672469223,0.1784243577619883,0.0066864447579469,0.993313555242053,13.795407618241596,28.51900786590172,"BIBU, Burundi"
CAHA,northern,Autumn,Canada,6.632798095416381,2.395281317465226,0.2772154726171618,0.1158691994012574,0.8841308005987424,1.9243427375231648,4.708455357893215,"CAHA, Canada"
CAHA,northern,Spring,Canada,4.331529632938478,1.850840129356439,0.1474969223742968,0.0664251764994114,0.9335748235005884,0.9399354505412784,3.3915941823972005,"CAHA, Canada"
CAHA,northern,Summer,Canada,5.840926956437567,1.3959194237267336,0.161041694727226,0.0428270236321368,0.9571729763678632,1.7333210837797397,4.107605872657827,"CAHA, Canada"
CAHA,northern,Winter,Canada,6.968444602980527,2.29537481674294,0.2208420497482579,0.0799710640473266,0.9200289359526732,1.666259428810342,5.302185174170185,"CAHA, Canada"
CASH,northern,Autumn,Canada,6.813189299311491,5.6615778327813455,0.5166973868005613,1.6770322191299276,-0.6770322191299276,1.7097282694787734,5.103461029832717,"CASH, Canada"
CASH,northern,Spring,Canada,10.32386712101825,2.581246021507991,0.2572468141046243,0.0761687761229265,0.9238312238770734,2.716822096253247,7.607045024765003,"CASH, Canada"
CASH,northern,Summer,Canada,12.67948543215387,1.9003565905506064,0.1581559842870571,0.0331937297952899,0.96680627020471,2.621633260984328,10.057852171169545,"CASH, Canada"
CASH,northern,Winter,Canada,9.17489954268103,2.062062337835199,0.2045906364792408,0.0575187616038656,0.9424812383961344,2.2931272834639063,6.881772259217125,"CASH, Canada"
CHTS,northern,Autumn,China,18.97189474837509,1.2054839666292312,0.1355291726520812,0.015224666021345,0.9847753339786548,5.512159129356449,13.459735619018645,"CHTS, China"
CHTS,northern,Spring,China,22.71126199615533,1.0925281471838622,0.1341668443555654,0.0093093629872295,0.9906906370127704,7.170926679708738,15.540335316446592,"CHTS, China"
CHTS,northern,Summer,China,17.340884873241773,1.312048851005021,0.1641828616478672,0.0149248665020484,0.9850751334979516,5.4801017701094334,11.86078310313234,"CHTS, China"
CHTS,northern,Winter,China,21.51482014847586,1.1580921627758445,0.1301199302493379,0.0134223768798232,0.9865776231201768,6.396188096795709,15.118632051680152,"CHTS, China"
CLST,southern,Autumn,Chile,27.375959875744545,2.516998485605113,0.3249230526570493,0.030455558343761,0.969544441656239,8.79841058248698,18.577549293257565,"CLST, Chile"
CLST,southern,Spring,Chile,36.20468781268869,2.347777841304346,0.3155956642422023,0.0214416291962223,0.9785583708037776,12.19920847427263,24.005479338416063,"CLST, Chile"
CLST,southern,Summer,Chile,21.91633887152607,1.971570319364056,0.2483423648971121,0.0226441367047188,0.9773558632952812,6.879721058561653,15.03661781296442,"CLST, Chile"
CLST,southern,Winter,Chile,35.77244356347155,2.0604927492559613,0.2846222647669927,0.0163942424505787,0.9836057575494211,12.283147902218408,23.48929566125313,"CLST, Chile"
ETAD,northern,Autumn,Ethiopia,47.7106919720118,2.178192585028829,0.3008113678306102,0.0160207995372406,0.9839792004627592,16.51715891809173,31.193533053920078,"ETAD, Ethiopia"
ETAD,northern,Spring,Ethiopia,44.14826265200077,2.26110414466369,0.3216438718912607,0.0167888126036089,0.9832111873963912,15.73290873584066,28.41535391616012,"ETAD, Ethiopia"
ETAD,northern,Summer,Ethiopia,57.2740152564743,1.9126325929255013,0.2837679695080948,0.0102234460048219,0.989776553995178,21.29367236908025,35.98034288739405,"ETAD, Ethiopia"
ETAD,northern,Winter,Ethiopia,44.27168103724315,2.5442768720982727,0.3429068102620809,0.0206181146233229,0.9793818853766768,14.937593821815405,29.334087215427743,"ETAD, Ethiopia"
IDBD,equatorial,Equatorial Season,Indonesia,36.47249105615444,0.984624027702023,0.1326526273706604,0.0037223373001739,0.996277662699826,12.262814858591929,24.209676197562512,"IDBD, Indonesia"
ILHA,northern,Autumn,Israel,18.14159818511685,1.8260690154210384,0.2127580172829539,0.0281824664464809,0.9718175335535192,5.380029981137976,12.76156820397888,"ILHA, Israel"
ILHA,northern,Spring,Israel,18.91661562833768,1.6183047212969943,0.1890433776095993,0.0209646929078692,0.9790353070921308,5.583468316817049,13.33314731152063,"ILHA, Israel"
ILHA,northern,Summer,Israel,17.97946787786803,1.4188999963586864,0.1663954844978581,0.0139422884102871,0.9860577115897128,5.219168523379627,12.7602993544884,"ILHA, Israel"
ILHA,northern,Winter,Israel,19.7288254826287,1.686617268352943,0.1991872086016711,0.0175773112983945,0.9824226887016054,5.807891514594942,13.92093396803376,"ILHA, Israel"
ILNZ,northern,Autumn,Israel,22.28118460079017,1.655035873812941,0.200276597816732,0.0170394141676963,0.9829605858323036,6.835176064569658,15.44600853622051,"ILNZ, Israel"
ILNZ,northern,Spring,Israel,21.57689584619172,1.949248738031066,0.2306311020287597,0.0260852220845136,0.9739147779154864,6.370492062359344,15.206403783832377,"ILNZ, Israel"
ILNZ,northern,Summer,Israel,18.775520347541843,1.4315496410790365,0.1682824772112904,0.0145250478424342,0.9854749521575656,5.477726217439179,13.297794130102664,"ILNZ, Israel"
ILNZ,northern,Winter,Israel,21.09691454481543,1.689916368997879,0.2130326492394304,0.022688544735837,0.977311455264163,6.7421018940407365,14.354812650774695,"ILNZ, Israel"
INDH,northern,Spring,India,66.41965712350762,1.242168005694963,0.1680304501659899,0.0033437679725642,0.9966562320274356,22.61625691373047,43.80340020977714,"INDH, India"
INDH,northern,Summer,India,63.79275582607765,1.7570936539937794,0.1874370995041815,0.0053755904498886,0.9946244095501112,17.19243922093601,46.60031660514164,"INDH, India"
INDH,northern,Winter,India,32.68855481317719,1.0381799107254022,0.1241447987117216,0.0039428061833924,0.9960571938166076,9.716613386327188,22.97194142685,"INDH, India"
INKA,northern,Autumn,India,35.89332925094651,1.3132027866069866,0.1833994316496674,0.0067098998541109,0.9932901001458893,12.460722581042296,23.43260666990421,"INKA, India"
INKA,northern,Spring,India,63.658118153400544,0.958344283029724,0.1429916929728099,0.0021831101585469,0.9978168898414528,23.8932707129096,39.76484744049093,"INKA, India"
INKA,northern,Summer,India,29.993716047828094,1.2453271937674435,0.1763098909480554,0.0077895656449052,0.9922104343550948,10.587999860508663,19.405716187319435,"INKA, India"
INKA,northern,Winter,India,29.688685843447377,0.8405129075800254,0.0905475548633022,0.0025628269629429,0.9974371730370571,7.97705120819782,21.71163463524956,"INKA, India"
KRSE,northern,Autumn,South Korea,15.5639402168811,1.2165007681596345,0.1453109030803758,0.0138512210276868,0.9861487789723132,4.6300915644135765,10.933848652467525,"KRSE, South Korea"
KRSE,northern,Spring,South Korea,12.308503955101807,0.8246590040934073,0.0797549777240937,0.006030913335195,0.9939690866648048,2.948008104096919,9.360495851004888,"KRSE, South Korea"
KRSE,northern,Summer,South Korea,11.6716251760374,0.9417486089631982,0.0962129129732677,0.0081542368184806,0.9918457631815192,2.980980718861474,8.690644457175924,"KRSE, South Korea"
KRSE,northern,Winter,South Korea,17.119123869247773,0.8398782986901107,0.0957436729344242,0.0054959105511918,0.994504089448808,4.862490595202016,12.256633274045756,"KRSE, South Korea"
KRUL,northern,Autumn,South Korea,12.48812702290468,1.5735145391245366,0.1677369483258586,0.0259799399311126,0.9740200600688872,3.3414006656748056,9.146726357229875,"KRUL, South Korea"
KRUL,northern,Spring,South Korea,15.341862865524275,0.9629979515910202,0.1046437106972349,0.0072916625278615,0.9927083374721384,4.239155640676663,11.102707224847611,"KRUL, South Korea"
KRUL,northern,Summer,South Korea,14.43019863911074,1.0637682810270908,0.1074424603620566,0.0100506112054915,0.9899493887945084,3.811432867670972,10.618765771439769,"KRUL, South Korea"
KRUL,northern,Winter,South Korea,14.471011917632657,1.1894056026186623,0.1305216487707418,0.0128787118070397,0.9871212881929604,3.9561939756204474,10.514817942012208,"KRUL, South Korea"
MXMC,northern,Autumn,Mexico,16.981205329835028,1.571296391218414,0.1846155874455671,0.0179677901016873,0.9820322098983126,4.995418956800359,11.985786373034667,"MXMC, Mexico"
MXMC,northern,Spring,Mexico,18.89984931276843,1.1707249994502615,0.1413405770347393,0.0092256645283626,0.9907743354716374,5.753248868894699,13.146600443873728,"MXMC, Mexico"
MXMC,northern,Summer,Mexico,15.864199783928576,1.3150739277586836,0.1420477967008588,0.0135812739037604,0.9864187260962394,4.370572781421034,11.49362700250754,"MXMC, Mexico"
MXMC,northern,Winter,Mexico,24.8391240021228,1.6868311518881227,0.2017356781024349,0.014853685067347,0.9851463149326528,7.444175422275768,17.39494857984703,"MXMC, Mexico"
NGIL,northern,Autumn,Nigeria,20.59358078370401,0.7895302536883325,0.1076111822009745,0.0041256683271939,0.995874331672806,6.977242036026385,13.616338747677624,"NGIL, Nigeria"
NGIL,northern,Summer,Nigeria,31.49050700225729,2.196882366612931,0.2864283464204631,0.0199877408038846,0.9800122591961152,10.208912357186655,21.28159464507063,"NGIL, Nigeria"
NGIL,northern,Winter,Nigeria,79.10120539093238,1.4804185054020262,0.1861052047097125,0.0034830517138424,0.9965169482861576,24.718403083523047,54.382802307409335,"NGIL, Nigeria"
